date,Soil Moisture Resistance (Ohm),Ambient Temperature (deg. C),Atmospheric Humidity (%),DC Water pump Status
01-03-2023 16:00,641,32.9,43,1
01-03-2023 16:15,676,26,40,1
01-03-2023 16:30,739,33.3,51,1
01-03-2023 16:45,773,33.4,60,1
01-03-2023 17:00,792,32.7,70,1
01-03-2023 17:15,509,32.7,44,1
01-03-2023 17:30,682,33.3,51,1
01-03-2023 17:45,637,33.4,41,1
01-03-2023 18:00,769,33.3,49,1
01-03-2023 18:15,611,30.5,41,1
01-03-2023 18:30,574,30.5,52,1
01-03-2023 18:45,623,33.3,54,1
01-03-2023 19:00,539,32.8,20,1
01-03-2023 19:15,595,32.8,28,1
01-03-2023 19:30,683,25,59,1
01-03-2023 19:45,760,32.8,60,1
01-03-2023 20:00,697,30.6,64,1
01-03-2023 20:15,766,32.9,67,1
01-03-2023 20:30,768,25,66,1
01-03-2023 20:45,734,32.8,42,1
01-03-2023 21:00,579,33.4,20,1
01-03-2023 21:15,737,25,51,1
01-03-2023 21:30,699,33.4,48,1
01-03-2023 21:45,757,33.4,67,1
01-03-2023 22:00,624,30.2,42,1
01-03-2023 22:15,545,26,59,1
01-03-2023 22:30,850,33.4,20,1
01-03-2023 22:45,722,33.3,25,1
01-03-2023 23:00,795,32.8,58,1
01-03-2023 23:15,817,32.7,48,1
01-03-2023 23:30,830,30.6,60,1
01-03-2023 23:45,843,30.6,37,1
02-03-2023 00:00,553,33.4,38,1
02-03-2023 00:15,837,30.5,56,1
02-03-2023 00:30,588,30.6,64,1
02-03-2023 00:45,733,32.9,25,1
02-03-2023 01:00,89,33.4,58,0
02-03-2023 01:15,76,30.1,27,0
02-03-2023 01:30,434,26,55,0
02-03-2023 01:45,487,33.4,25,0
02-03-2023 02:00,493,30.1,64,0
02-03-2023 02:15,421,32.7,23,0
02-03-2023 02:30,379,25,52,0
02-03-2023 02:45,177,32.7,49,0
02-03-2023 03:00,482,32.8,53,0
02-03-2023 03:15,168,25,61,0
02-03-2023 03:30,208,30.5,58,0
02-03-2023 03:45,162,33.4,60,0
02-03-2023 04:00,306,30.5,51,0
02-03-2023 04:15,394,30.5,52,0
02-03-2023 04:30,184,30.5,35,0
02-03-2023 04:45,429,32.8,21,0
02-03-2023 05:00,81,32.9,23,0
02-03-2023 05:15,158,25,42,0
02-03-2023 05:30,435,32.7,43,0
02-03-2023 05:45,401,30.1,70,0
02-03-2023 06:00,271,26,50,0
02-03-2023 06:15,161,25,50,0
02-03-2023 06:30,124,26,53,0
02-03-2023 06:45,26,32.8,26,0
02-03-2023 07:00,175,33.3,34,0
02-03-2023 07:15,293,32.8,62,0
02-03-2023 07:30,354,30.3,25,0
02-03-2023 07:45,245,32.9,36,0
02-03-2023 08:00,462,32.7,63,0
02-03-2023 08:15,466,25,53,0
02-03-2023 08:30,75,32.7,68,0
02-03-2023 08:45,209,33.4,25,0
02-03-2023 09:00,304,32.7,59,0
02-03-2023 09:15,256,25,28,0
02-03-2023 09:30,141,32.8,39,0
02-03-2023 09:45,302,32.7,68,0
02-03-2023 10:00,87,33.3,42,0
02-03-2023 10:15,72,25,33,0
02-03-2023 10:30,4,30.6,33,0
02-03-2023 10:45,178,32.4,23,0
02-03-2023 11:00,36,33.4,21,0
02-03-2023 11:15,39,32.1,61,0
02-03-2023 11:30,107,32.8,37,0
02-03-2023 11:45,21,33.4,29,0
02-03-2023 12:00,59,33.4,61,0
02-03-2023 12:15,206,32.6,46,0
02-03-2023 12:30,143,30.6,35,0
02-03-2023 12:45,52,32.7,21,0
02-03-2023 13:00,149,32.8,23,0
02-03-2023 13:15,74,33.4,30,0
02-03-2023 13:30,861,30.1,45,1
02-03-2023 13:45,938,32.9,26,1
02-03-2023 14:00,981,32.8,35,1
02-03-2023 14:15,1019,30.6,60,1
02-03-2023 14:30,876,33.4,46,1
02-03-2023 14:45,1020,32.7,65,1
02-03-2023 15:00,933,32.8,62,1
02-03-2023 15:15,889,32.7,29,1
02-03-2023 15:30,865,33.4,33,1
02-03-2023 15:45,920,32.7,41,1
02-03-2023 16:00,926,30.5,21,1
02-03-2023 16:15,923,33.4,30,1
02-03-2023 16:30,853,30.1,40,1
02-03-2023 16:45,922,33.4,40,1
02-03-2023 17:00,998,30.2,40,1
02-03-2023 17:15,966,32.7,26,1
02-03-2023 17:30,950,32.8,29,1
02-03-2023 17:45,1001,33.4,23,1
02-03-2023 18:00,930,32.8,61,1
02-03-2023 18:15,999,32.9,20,1
02-03-2023 18:30,873,32.8,49,1
02-03-2023 18:45,969,33.4,65,1
02-03-2023 19:00,881,30.6,70,1
02-03-2023 19:15,896,32.7,66,1
02-03-2023 19:30,857,33.4,64,1
02-03-2023 19:45,1010,33.4,45,1
02-03-2023 20:00,947,32.8,30,1
02-03-2023 20:15,859,32.7,52,1
02-03-2023 20:30,1005,32.9,46,1
02-03-2023 20:45,937,33.4,62,1
02-03-2023 21:00,893,32.8,34,1
02-03-2023 21:15,872,32.7,62,1
02-03-2023 21:30,878,33.4,50,1
02-03-2023 21:45,883,32.7,52,1
02-03-2023 22:00,888,30.5,41,1
02-03-2023 22:15,1009,33.4,53,1
02-03-2023 22:30,917,30.6,23,1
02-03-2023 22:45,974,33.4,53,1
02-03-2023 23:00,858,30.6,24,1
02-03-2023 23:15,918,32.7,34,1
02-03-2023 23:30,1021,33.4,38,1
02-03-2023 23:45,986,32.8,66,1
03-03-2023 00:00,968,32.8,29,1
03-03-2023 00:15,1015,32.9,27,1
03-03-2023 00:30,914,32.8,64,1
03-03-2023 00:45,941,33.4,68,1
03-03-2023 01:00,902,32.8,36,1
03-03-2023 01:15,894,32.7,24,1
03-03-2023 01:30,1022,33.4,53,1
03-03-2023 01:45,979,32.8,28,1
03-03-2023 02:00,1024,30.5,23,1
03-03-2023 02:15,720,33.4,61,1
03-03-2023 02:30,637,30.6,30,1
03-03-2023 02:45,661,32.8,49,1
03-03-2023 03:00,674,33.4,59,1
03-03-2023 03:15,681,32.7,30,1
03-03-2023 03:30,666,30.6,38,1
03-03-2023 03:45,668,30.6,23,1
03-03-2023 04:00,656,30.6,21,1
03-03-2023 04:15,664,30.6,59,1
03-03-2023 04:30,667,30.6,23,1
03-03-2023 04:45,669,32.8,34,1
03-03-2023 05:00,682,32.7,59,1
03-03-2023 05:15,680,27,40,1
03-03-2023 05:30,678,25,26,1
03-03-2023 05:45,658,32.6,55,1
03-03-2023 06:00,667,33.3,69,1
03-03-2023 06:15,662,30.5,56,1
03-03-2023 06:30,655,30.5,29,1
03-03-2023 06:45,637,33.4,43,1
03-03-2023 07:00,636,26,20,1
03-03-2023 07:15,628,32.7,45,1
03-03-2023 07:30,595,30.5,58,1
03-03-2023 07:45,608,30.6,34,1
03-03-2023 08:00,605,25,21,1
03-03-2023 08:15,600,30.5,54,1
03-03-2023 08:30,596,30.1,62,1
03-03-2023 08:45,592,32.1,52,1
03-03-2023 09:00,588,32.8,69,1
03-03-2023 09:15,584,30.2,42,1
03-03-2023 09:30,580,25,41,1
03-03-2023 09:45,554,30.6,22,1
03-03-2023 10:00,571,30.3,29,1
03-03-2023 10:15,569,32.8,55,1
03-03-2023 10:30,567,26,67,1
03-03-2023 10:45,564,32.7,52,1
03-03-2023 11:00,561,30.5,58,1
03-03-2023 11:15,558,30.1,40,1
03-03-2023 11:30,535,32.8,24,1
03-03-2023 11:45,554,30,52,1
03-03-2023 12:00,553,26,35,1
03-03-2023 12:15,550,33.4,28,1
03-03-2023 12:30,549,25,20,1
03-03-2023 12:45,547,30.1,30,1
03-03-2023 13:00,523,27,22,1
03-03-2023 13:15,523,32.4,54,1
03-03-2023 13:30,543,25,31,1
03-03-2023 13:45,543,32.2,56,1
03-03-2023 14:00,542,32.4,28,1
03-03-2023 14:15,526,30.6,68,1
03-03-2023 14:30,543,32.7,55,1
03-03-2023 14:45,542,25,31,1
03-03-2023 15:00,542,30.2,42,1
03-03-2023 15:15,540,26,31,1
03-03-2023 15:30,523,32.9,57,1
03-03-2023 15:45,538,32.9,24,1
03-03-2023 16:00,522,33.4,65,1
03-03-2023 16:15,536,30.6,70,1
03-03-2023 16:30,536,26,44,1
03-03-2023 16:45,537,32.7,62,1
03-03-2023 17:00,536,33.4,58,1
03-03-2023 17:15,532,25,50,1
03-03-2023 17:30,514,30.1,50,1
03-03-2023 17:45,513,33.4,57,1
03-03-2023 18:00,528,30.3,24,1
03-03-2023 18:15,535,25,42,1
03-03-2023 18:30,534,30.1,29,1
03-03-2023 18:45,517,32.8,51,1
03-03-2023 19:00,516,33.4,35,1
03-03-2023 19:15,532,25,45,1
03-03-2023 19:30,531,32.9,69,1
03-03-2023 19:45,512,26,68,1
03-03-2023 20:00,528,33.3,68,1
03-03-2023 20:15,526,33.4,27,1
03-03-2023 20:30,525,32.7,25,1
03-03-2023 20:45,530,32.7,43,1
03-03-2023 21:00,528,33.3,60,1
03-03-2023 21:15,526,33.4,28,1
03-03-2023 21:30,525,33.3,22,1
03-03-2023 21:45,524,30.5,57,1
03-03-2023 22:00,523,30.5,40,1
03-03-2023 22:15,523,33.3,53,1
03-03-2023 22:30,524,32.8,44,1
03-03-2023 22:45,525,32.8,68,1
03-03-2023 23:00,525,25,64,1
03-03-2023 23:15,508,32.8,32,1
03-03-2023 23:30,523,30.6,41,1
03-03-2023 23:45,524,32.9,48,1
04-03-2023 00:00,523,25,26,1
04-03-2023 00:15,526,32.8,44,1
04-03-2023 00:30,525,33.4,38,1
04-03-2023 00:45,522,25,69,1
04-03-2023 01:00,522,33.4,35,1
04-03-2023 01:15,520,33.4,61,1
04-03-2023 01:30,519,30.2,49,1
04-03-2023 01:45,519,26,30,1
04-03-2023 02:00,524,33.4,44,1
04-03-2023 02:15,523,33.3,47,1
04-03-2023 02:30,523,32.8,42,1
04-03-2023 02:45,521,32.7,24,1
04-03-2023 03:00,519,30.6,22,1
04-03-2023 03:15,519,30.6,70,1
04-03-2023 03:30,519,33.4,50,1
04-03-2023 03:45,523,30.5,33,1
04-03-2023 04:00,485,30.6,57,0
04-03-2023 04:15,524,32.9,47,1
04-03-2023 04:30,524,33.4,24,1
04-03-2023 04:45,522,30.1,46,1
04-03-2023 05:00,520,26,22,1
04-03-2023 05:15,488,33.4,37,0
04-03-2023 05:30,441,30.1,21,0
04-03-2023 05:45,493,32.7,21,0
04-03-2023 06:00,504,25,62,1
04-03-2023 06:15,490,32.7,63,0
04-03-2023 06:30,489,32.8,59,0
04-03-2023 06:45,507,25,46,1
04-03-2023 07:00,507,30.5,52,1
04-03-2023 07:15,490,33.4,42,0
04-03-2023 07:30,506,30.5,47,1
04-03-2023 07:45,506,30.5,24,1
04-03-2023 08:00,488,30.5,49,0
04-03-2023 08:15,505,32.8,60,1
04-03-2023 08:30,505,32.9,35,1
04-03-2023 08:45,488,25,39,0
04-03-2023 09:00,488,32.7,30,0
04-03-2023 09:15,504,30.1,44,1
04-03-2023 09:30,504,26,63,1
04-03-2023 09:45,504,25,47,1
04-03-2023 10:00,504,26,43,1
04-03-2023 10:15,504,32.8,40,1
04-03-2023 10:30,502,33.3,60,1
04-03-2023 10:45,502,32.8,43,1
04-03-2023 11:00,502,30.3,35,1
04-03-2023 11:15,486,32.9,61,0
04-03-2023 11:30,502,32.7,29,1
04-03-2023 11:45,502,25,54,1
04-03-2023 12:00,501,32.7,38,1
04-03-2023 12:15,501,33.4,20,1
04-03-2023 12:30,502,32.7,63,1
04-03-2023 12:45,501,25,51,1
04-03-2023 13:00,500,32.8,51,1
04-03-2023 13:15,500,32.7,42,1
04-03-2023 13:30,500,33.3,39,1
04-03-2023 13:45,499,25,47,0
04-03-2023 14:00,499,30.6,68,0
04-03-2023 14:15,483,32.4,42,0
04-03-2023 14:30,499,33.4,23,0
04-03-2023 14:45,498,32.1,50,0
04-03-2023 15:00,498,32.8,59,0
04-03-2023 15:15,498,33.4,29,0
04-03-2023 15:30,498,33.4,49,0
04-03-2023 15:45,498,32.6,68,0
04-03-2023 16:00,482,30.6,25,0
04-03-2023 16:15,498,32.7,42,0
04-03-2023 16:30,498,32.8,43,0
04-03-2023 16:45,498,33.4,69,0
04-03-2023 17:00,497,30.1,56,0
04-03-2023 17:15,481,32.9,61,0
04-03-2023 17:30,497,32.8,37,0
04-03-2023 17:45,497,30.6,69,0
04-03-2023 18:00,497,33.4,28,0
04-03-2023 18:15,480,32.7,40,0
04-03-2023 18:30,497,32.8,54,0
04-03-2023 18:45,496,32.7,57,0
04-03-2023 19:00,497,33.4,20,0
04-03-2023 19:15,496,32.7,28,0
04-03-2023 19:30,480,30.5,61,0
04-03-2023 19:45,496,33.4,53,0
04-03-2023 20:00,495,30.1,46,0
04-03-2023 20:15,478,33.4,61,0
04-03-2023 20:30,496,30.2,36,0
04-03-2023 20:45,496,32.7,54,0
04-03-2023 21:00,496,32.8,20,0
04-03-2023 21:15,496,33.4,24,0
04-03-2023 21:30,495,32.8,65,0
04-03-2023 21:45,495,32.9,20,0
04-03-2023 22:00,495,32.8,57,0
04-03-2023 22:15,495,33.4,54,0
04-03-2023 22:30,478,30.6,27,0
04-03-2023 22:45,495,32.7,41,0
04-03-2023 23:00,495,33.4,43,0
04-03-2023 23:15,477,33.4,27,0
04-03-2023 23:30,477,32.8,57,0
04-03-2023 23:45,478,32.7,68,0
05-03-2023 00:00,494,32.9,52,0
05-03-2023 00:15,494,33.4,30,0
05-03-2023 00:30,476,32.8,30,0
05-03-2023 00:45,494,32.7,23,0
05-03-2023 01:00,494,33.4,51,0
05-03-2023 01:15,494,32.7,20,0
05-03-2023 01:30,494,30.5,69,0
05-03-2023 01:45,494,33.4,39,0
05-03-2023 02:00,494,30.6,49,0
05-03-2023 02:15,494,33.4,58,0
05-03-2023 02:30,493,30.6,59,0
05-03-2023 02:45,493,32.7,24,0
05-03-2023 03:00,494,33.4,44,0
05-03-2023 03:15,494,32.8,31,0
05-03-2023 03:30,476,32.8,62,0
05-03-2023 03:45,476,32.9,47,0
05-03-2023 04:00,493,32.8,39,0
05-03-2023 04:15,493,33.4,28,0
05-03-2023 04:30,475,32.8,55,0
05-03-2023 04:45,490,32.7,60,0
05-03-2023 05:00,490,33.4,65,0
05-03-2023 05:15,489,32.8,52,0
05-03-2023 05:30,490,30.5,24,0
05-03-2023 05:45,490,33.4,68,0
05-03-2023 06:00,474,30.6,69,0
05-03-2023 06:15,489,32.8,21,0
05-03-2023 06:30,489,33.4,24,0
05-03-2023 06:45,489,32.7,44,0
05-03-2023 07:00,474,32.4,28,0
05-03-2023 07:15,489,32.4,21,0
05-03-2023 07:30,474,32.6,34,0
05-03-2023 07:45,489,32.6,66,0
05-03-2023 08:00,473,32.6,27,0
05-03-2023 08:15,473,32.3,54,0
05-03-2023 08:30,473,32.2,66,0
05-03-2023 08:45,488,31.9,59,0
05-03-2023 09:00,488,32.2,61,0
05-03-2023 09:15,472,32.8,33,0
05-03-2023 09:30,488,31.9,32,0
05-03-2023 09:45,488,32.7,56,0
05-03-2023 10:00,472,32.1,24,0
05-03-2023 10:15,488,32.8,43,0
05-03-2023 10:30,487,32.1,33,0
05-03-2023 10:45,487,32.1,27,0
05-03-2023 11:00,471,32.4,30,0
05-03-2023 11:15,487,32.4,59,0
05-03-2023 11:30,487,31.9,33,0
05-03-2023 11:45,488,32.3,36,0
05-03-2023 12:00,488,30.1,58,0
05-03-2023 12:15,487,32.2,26,0
05-03-2023 12:30,487,32.3,22,0
05-03-2023 12:45,487,32.7,32,0
05-03-2023 13:00,471,32.2,40,0
05-03-2023 13:15,487,31.7,55,0
05-03-2023 13:30,487,32.1,32,0
05-03-2023 13:45,471,32.1,48,0
05-03-2023 14:00,470,32.1,22,0
05-03-2023 14:15,470,32.3,42,0
05-03-2023 14:30,471,32.1,68,0
05-03-2023 14:45,470,32.1,30,0
05-03-2023 15:00,471,32.1,44,0
05-03-2023 15:15,487,32.1,40,0
05-03-2023 15:30,470,32.2,37,0
05-03-2023 15:45,470,32.2,25,0
05-03-2023 16:00,487,32.2,70,0
05-03-2023 16:15,487,32.2,44,0
05-03-2023 16:30,487,32.2,39,0
05-03-2023 16:45,487,32.5,26,0
05-03-2023 17:00,470,32.1,47,0
05-03-2023 17:15,486,32.1,23,0
05-03-2023 17:30,486,32.2,37,0
05-03-2023 17:45,487,32.1,55,0
05-03-2023 18:00,470,31.9,62,0
05-03-2023 18:15,486,32.2,37,0
05-03-2023 18:30,487,32.3,50,0
05-03-2023 18:45,470,32.3,68,0
05-03-2023 19:00,486,32.2,24,0
05-03-2023 19:15,470,32.1,21,0
05-03-2023 19:30,486,32.1,53,0
05-03-2023 19:45,470,32.1,46,0
05-03-2023 20:00,486,32.1,46,0
05-03-2023 20:15,486,32.8,21,0
05-03-2023 20:30,486,32.4,49,0
05-03-2023 20:45,469,32.1,50,0
05-03-2023 21:00,486,32,41,0
05-03-2023 21:15,470,32.4,56,0
05-03-2023 21:30,486,32.4,41,0
05-03-2023 21:45,486,32.9,47,0
05-03-2023 22:00,486,32.3,40,0
05-03-2023 22:15,486,32.1,61,0
05-03-2023 22:30,469,32.2,49,0
05-03-2023 22:45,469,31.9,52,0
05-03-2023 23:00,485,32.5,26,0
05-03-2023 23:15,486,32.5,64,0
05-03-2023 23:30,468,32.5,55,0
05-03-2023 23:45,469,32.5,45,0
06-03-2023 00:00,485,32.5,66,0
06-03-2023 00:15,468,32.1,68,0
06-03-2023 00:30,469,32.1,48,0
06-03-2023 00:45,469,32.1,50,0
06-03-2023 01:00,468,32.1,45,0
06-03-2023 01:15,485,32.1,40,0
06-03-2023 01:30,484,32.1,35,0
06-03-2023 01:45,466,32.1,66,0
06-03-2023 02:00,466,32.1,50,0
06-03-2023 02:15,484,32.1,26,0
06-03-2023 02:30,484,32.2,30,0
06-03-2023 02:45,466,32.2,23,0
06-03-2023 03:00,468,32.2,54,0
06-03-2023 03:15,484,32.2,66,0
06-03-2023 03:30,484,32.2,34,0
06-03-2023 03:45,468,32.1,69,0
06-03-2023 04:00,485,32.1,30,0
06-03-2023 04:15,484,32.1,63,0
06-03-2023 04:30,468,32.1,46,0
06-03-2023 04:45,466,32.1,45,0
06-03-2023 05:00,484,32.1,65,0
06-03-2023 05:15,466,32.1,41,0
06-03-2023 05:30,484,32.1,29,0
06-03-2023 05:45,484,32.1,36,0
06-03-2023 06:00,468,32.3,49,0
06-03-2023 06:15,466,32.3,46,0
06-03-2023 06:30,466,32.3,31,0
06-03-2023 06:45,466,32.3,69,0
06-03-2023 07:00,466,32.3,30,0
06-03-2023 07:15,466,32.3,69,0
06-03-2023 07:30,484,32.3,34,0
06-03-2023 07:45,466,32.3,36,0
06-03-2023 08:00,468,32.1,44,0
06-03-2023 08:15,466,32.1,62,0
06-03-2023 08:30,468,32.1,50,0
06-03-2023 08:45,484,32.6,25,0
06-03-2023 09:00,466,32.7,62,0
06-03-2023 09:15,466,32.8,67,0
06-03-2023 09:30,468,31.8,56,0
06-03-2023 09:45,468,32.1,47,0
06-03-2023 10:00,468,31.9,56,0
06-03-2023 10:15,484,32.2,31,0
06-03-2023 10:30,466,32.1,23,0
06-03-2023 10:45,466,32.2,23,0
06-03-2023 11:00,466,32.2,66,0
06-03-2023 11:15,466,27,24,0
06-03-2023 11:30,466,25,24,0
06-03-2023 11:45,484,26,32,0
06-03-2023 12:00,466,25,43,0
06-03-2023 12:15,466,27,34,0
06-03-2023 12:30,465,26,39,0
06-03-2023 12:45,465,25,25,0
06-03-2023 13:00,465,26,30,0
06-03-2023 13:15,466,27,31,0
06-03-2023 13:30,466,27,33,0
06-03-2023 13:45,465,27,23,0
06-03-2023 14:00,466,25,28,0
06-03-2023 14:15,483,27,20,0
06-03-2023 14:30,466,26,60,0
06-03-2023 14:45,465,25,26,0
06-03-2023 15:00,483,25,39,0
06-03-2023 15:15,466,27,49,0
06-03-2023 15:30,466,26,62,0
06-03-2023 15:45,483,26,61,0
06-03-2023 16:00,466,30.5,45,0
06-03-2023 16:15,465,30.6,60,0
06-03-2023 16:30,466,31.7,34,0
06-03-2023 16:45,465,31.8,34,0
06-03-2023 17:00,465,31.6,35,0
06-03-2023 17:15,465,31.5,63,0
06-03-2023 17:30,483,31.3,70,0
06-03-2023 17:45,466,31.2,30,0
06-03-2023 18:00,465,31,41,0
06-03-2023 18:15,483,30.9,26,0
06-03-2023 18:30,465,30.8,35,0
06-03-2023 18:45,465,30.7,35,0
06-03-2023 19:00,482,30.6,52,0
06-03-2023 19:15,465,30.6,45,0
06-03-2023 19:30,465,30.5,21,0
06-03-2023 19:45,465,30.4,54,0
06-03-2023 20:00,465,30.3,56,0
06-03-2023 20:15,465,30.3,53,0
06-03-2023 20:30,465,30.2,63,0
06-03-2023 20:45,466,30.2,41,0
06-03-2023 21:00,482,30.2,21,0
06-03-2023 21:15,466,30.1,21,0
06-03-2023 21:30,465,30.2,51,0
06-03-2023 21:45,466,30.3,46,0
06-03-2023 22:00,482,30.4,65,0
06-03-2023 22:15,466,30.4,50,0
06-03-2023 22:30,482,30.4,23,0
06-03-2023 22:45,466,30.5,48,0
06-03-2023 23:00,466,30.5,45,0
06-03-2023 23:15,466,30.6,23,0
06-03-2023 23:30,482,30.6,33,0
06-03-2023 23:45,466,30.6,52,0
07-03-2023 00:00,466,30.7,49,0
07-03-2023 00:15,466,30.7,69,0
07-03-2023 00:30,482,30.7,39,0
07-03-2023 00:45,466,30.8,48,0
07-03-2023 01:00,466,30.8,44,0
07-03-2023 01:15,483,31.1,57,0
07-03-2023 01:30,482,32.1,54,0
07-03-2023 01:45,466,31.6,44,0
07-03-2023 02:00,466,31.5,43,0
07-03-2023 02:15,466,30.7,22,0
07-03-2023 02:30,483,30.6,42,0
07-03-2023 02:45,466,30.2,41,0
07-03-2023 03:00,466,25,21,0
07-03-2023 03:15,466,32.2,68,0
07-03-2023 03:30,483,30.6,25,0
07-03-2023 03:45,483,32.1,56,0
07-03-2023 04:00,466,27,56,0
07-03-2023 04:15,482,30.2,57,0
07-03-2023 04:30,482,32.7,62,0
07-03-2023 04:45,482,32.2,27,0
07-03-2023 05:00,483,30.6,28,0
07-03-2023 05:15,482,31.7,53,0
07-03-2023 05:30,465,30.1,21,0
07-03-2023 05:45,465,27,26,0
07-03-2023 06:00,482,30.8,35,0
07-03-2023 06:15,465,26,61,0
07-03-2023 06:30,482,33,51,0
07-03-2023 06:45,465,30.4,37,0
07-03-2023 07:00,481,30.6,60,0
07-03-2023 07:15,465,25,57,0
07-03-2023 07:30,481,32.1,56,0
07-03-2023 07:45,466,31.3,37,0
07-03-2023 08:00,481,33.4,70,0
07-03-2023 08:15,482,32.1,64,0
07-03-2023 08:30,481,31.2,57,0
07-03-2023 08:45,465,30.5,44,0
07-03-2023 09:00,465,32.4,30,0
07-03-2023 09:15,465,32.8,43,0
07-03-2023 09:30,465,26,22,0
07-03-2023 09:45,465,30.6,23,0
07-03-2023 10:00,465,32.9,53,0
07-03-2023 10:15,465,31.1,28,0
07-03-2023 10:30,466,32.7,53,0
07-03-2023 10:45,465,3.4,43,0
07-03-2023 11:00,465,33.4,69,0
07-03-2023 11:15,481,30,52,0
07-03-2023 11:30,481,32.1,45,0
07-03-2023 11:45,465,26,38,0
07-03-2023 12:00,481,33.4,28,0
07-03-2023 12:15,481,26,44,0
07-03-2023 12:30,481,32.8,31,0
07-03-2023 12:45,462,32.9,55,0
07-03-2023 13:00,495,30.5,49,0
07-03-2023 13:15,496,32.8,24,0
07-03-2023 13:30,496,32.8,56,0
07-03-2023 13:45,496,30.1,47,0
07-03-2023 14:00,480,31.3,21,0
07-03-2023 14:15,496,32.1,33,0
07-03-2023 14:30,496,30.3,46,0
07-03-2023 14:45,496,32.8,51,0
07-03-2023 15:00,496,26,57,0
07-03-2023 15:15,497,30.5,26,0
07-03-2023 15:30,496,32.5,23,0
07-03-2023 15:45,497,30.1,37,0
07-03-2023 16:00,497,26,32,0
07-03-2023 16:15,497,30.3,34,0
07-03-2023 16:30,497,32.9,22,0
07-03-2023 16:45,497,32.9,30,0
07-03-2023 17:00,481,32.1,33,0
07-03-2023 17:15,497,32.1,23,0
07-03-2023 17:30,497,33.4,63,0
07-03-2023 17:45,481,32.6,27,0
07-03-2023 18:00,497,30.2,52,0
07-03-2023 18:15,497,30.2,29,0
07-03-2023 18:30,497,33.4,57,0
07-03-2023 18:45,481,30.9,21,0
07-03-2023 19:00,497,33.4,43,0
07-03-2023 19:15,497,30.1,35,0
07-03-2023 19:30,481,32.8,38,0
07-03-2023 19:45,497,32.1,45,0
07-03-2023 20:00,497,32.7,46,0
07-03-2023 20:15,480,30.6,69,0
07-03-2023 20:30,497,27,65,0
07-03-2023 20:45,497,31.5,43,0
07-03-2023 21:00,480,30.6,61,0
07-03-2023 21:15,497,33.4,40,0
07-03-2023 21:30,497,26,51,0
07-03-2023 21:45,497,30.3,66,0
07-03-2023 22:00,480,32.1,46,0
07-03-2023 22:15,497,25,24,0
07-03-2023 22:30,497,31.4,38,0
07-03-2023 22:45,497,32.7,60,0
07-03-2023 23:00,497,30.6,45,0
07-03-2023 23:15,497,33.4,21,0
